,연월일,시간,공급량
0,2013-01-01,12.5,1958.7616190476201
1,2013-01-02,12.5,2336.6599523809527
2,2013-01-03,12.5,2560.321333333331
3,2013-01-04,12.5,2515.6860476190477
4,2013-01-05,12.5,2285.94642857143
5,2013-01-06,12.5,2113.443952380951
6,2013-01-07,12.5,2211.3311904761904
7,2013-01-08,12.5,2161.34038095238
8,2013-01-09,12.5,2279.224380952381
9,2013-01-10,12.5,2314.6689047619043
10,2013-01-11,12.5,2134.5500000000006
11,2013-01-12,12.5,1884.547380952381
12,2013-01-13,12.5,1785.3074285714285
13,2013-01-14,12.5,1951.286142857144
14,2013-01-15,12.5,1966.7594285714288
15,2013-01-16,12.5,1976.9599047619054
16,2013-01-17,12.5,2080.361761904762
17,2013-01-18,12.5,2048.899904761904
18,2013-01-19,12.5,1768.5552857142854
19,2013-01-20,12.5,1675.36738095238
20,2013-01-21,12.5,1737.6969523809523
21,2013-01-22,12.5,1637.080476190476
22,2013-01-23,12.5,1641.662523809524
23,2013-01-24,12.5,1784.768047619048
24,2013-01-25,12.5,2114.545619047619
25,2013-01-26,12.5,2110.955999999999
26,2013-01-27,12.5,2079.5359047619045
27,2013-01-28,12.5,2066.666952380952
28,2013-01-29,12.5,1829.6324761904757
29,2013-01-30,12.5,1633.0477142857144
30,2013-01-31,12.5,1491.0802380952384
31,2013-02-01,12.5,1417.4571904761906
32,2013-02-02,12.5,1521.43480952381
33,2013-02-03,12.5,1694.089428571428
34,2013-02-04,12.5,1752.9777142857135
35,2013-02-05,12.5,1841.669523809524
36,2013-02-06,12.5,1841.2979047619056
37,2013-02-07,12.5,2249.9753333333333
38,2013-02-08,12.5,2378.883857142858
39,2013-02-09,12.5,2042.060666666667
40,2013-02-10,12.5,1762.33480952381
41,2013-02-11,12.5,1911.8166190476193
42,2013-02-12,12.5,2014.7764761904753
43,2013-02-13,12.5,1914.3578095238097
44,2013-02-14,12.5,1788.5459047619051
45,2013-02-15,12.5,1764.406571428572
46,2013-02-16,12.5,1757.5134285714291
47,2013-02-17,12.5,1569.1433809523817
48,2013-02-18,12.5,1664.7475714285715
49,2013-02-19,12.5,1822.0188095238086
50,2013-02-20,12.5,1903.1437142857144
51,2013-02-21,12.5,1813.9799523809527
52,2013-02-22,12.5,1742.851285714285
53,2013-02-23,12.5,1696.542476190475
54,2013-02-24,12.5,1533.921000000001
55,2013-02-25,12.5,1579.4410476190485
56,2013-02-26,12.5,1518.9045714285717
57,2013-02-27,12.5,1447.229047619048
58,2013-02-28,12.5,1383.563238095238
59,2013-03-01,12.5,1378.2786190476186
60,2013-03-02,12.5,1465.6745714285717
61,2013-03-03,12.5,1445.4076666666672
62,2013-03-04,12.5,1521.6770476190477
63,2013-03-05,12.5,1501.8873809523807
64,2013-03-06,12.5,1381.291047619048
65,2013-03-07,12.5,1279.393666666667
66,2013-03-08,12.5,1214.9168571428565
67,2013-03-09,12.5,1034.7485238095242
68,2013-03-10,12.5,1187.8387142857139
69,2013-03-11,12.5,1329.3689523809517
70,2013-03-12,12.5,1286.2198571428573
71,2013-03-13,12.5,1302.8616190476187
72,2013-03-14,12.5,1326.3923809523799
73,2013-03-15,12.5,1316.2288571428571
74,2013-03-16,12.5,1198.7659523809527
75,2013-03-17,12.5,1107.4461904761904
76,2013-03-18,12.5,1141.2803333333327
77,2013-03-19,12.5,1154.8122857142857
78,2013-03-20,12.5,1320.8030476190472
79,2013-03-21,12.5,1423.144904761905
80,2013-03-22,12.5,1377.827857142857
81,2013-03-23,12.5,1244.4591904761899
82,2013-03-24,12.5,1186.916095238095
83,2013-03-25,12.5,1347.8686190476192
84,2013-03-26,12.5,1319.522476190476
85,2013-03-27,12.5,1227.7374285714282
86,2013-03-28,12.5,1206.4040000000002
87,2013-03-29,12.5,1234.5082857142859
88,2013-03-30,12.5,1196.6990000000008
89,2013-03-31,12.5,1121.90438095238
90,2013-04-01,12.5,1147.1547142857144
91,2013-04-02,12.5,1180.3451904761907
92,2013-04-03,12.5,1191.0001428571431
93,2013-04-04,12.5,1030.545238095238
94,2013-04-05,12.5,918.6527619047613
95,2013-04-06,12.5,988.142952380952
96,2013-04-07,12.5,1041.6614285714286
97,2013-04-08,12.5,1132.6723809523808
98,2013-04-09,12.5,1178.4421904761907
99,2013-04-10,12.5,1237.8687142857138
100,2013-04-11,12.5,1228.7677142857146
101,2013-04-12,12.5,1178.7763333333337
102,2013-04-13,12.5,1016.4293809523812
103,2013-04-14,12.5,981.7907619047626
104,2013-04-15,12.5,1137.4322857142859
105,2013-04-16,12.5,987.1331904761904
106,2013-04-17,12.5,882.0003333333337
107,2013-04-18,12.5,893.7681904761904
108,2013-04-19,12.5,935.5947142857142
109,2013-04-20,12.5,1002.0382380952384
110,2013-04-21,12.5,916.745857142857
111,2013-04-22,12.5,940.4131904761908
112,2013-04-23,12.5,993.5223333333332
113,2013-04-24,12.5,895.0712380952381
114,2013-04-25,12.5,959.7219047619051
115,2013-04-26,12.5,909.5951904761902
116,2013-04-27,12.5,804.1626190476187
117,2013-04-28,12.5,724.7886190476189
118,2013-04-29,12.5,796.542904761905
119,2013-04-30,12.5,788.5044761904761
120,2013-05-01,12.5,732.1802857142853
121,2013-05-02,12.5,772.975904761905
122,2013-05-03,12.5,774.6362857142853
123,2013-05-04,12.5,702.3177619047619
124,2013-05-05,12.5,654.1385714285716
125,2013-05-06,12.5,713.2972380952381
126,2013-05-07,12.5,682.7005238095238
127,2013-05-08,12.5,653.4633333333329
128,2013-05-09,12.5,642.953238095238
129,2013-05-10,12.5,677.0038095238095
130,2013-05-11,12.5,610.0950476190474
131,2013-05-12,12.5,543.9723809523808
132,2013-05-13,12.5,593.4957619047617
133,2013-05-14,12.5,591.8035238095241
134,2013-05-15,12.5,585.9473333333333
135,2013-05-16,12.5,576.7799523809525
136,2013-05-17,12.5,499.74728571428597
137,2013-05-18,12.5,493.04857142857145
138,2013-05-19,12.5,500.8425238095235
139,2013-05-20,12.5,597.3435714285714
140,2013-05-21,12.5,602.586857142857
141,2013-05-22,12.5,594.7490952380949
142,2013-05-23,12.5,585.587619047619
143,2013-05-24,12.5,565.9623333333335
144,2013-05-25,12.5,488.84
145,2013-05-26,12.5,429.01080952380954
146,2013-05-27,12.5,534.0472857142854
147,2013-05-28,12.5,548.1662857142853
148,2013-05-29,12.5,561.9086666666664
149,2013-05-30,12.5,555.2242857142857
150,2013-05-31,12.5,535.8165238095241
151,2013-06-01,12.5,474.1648095238096
152,2013-06-02,12.5,430.12076190476216
153,2013-06-03,12.5,519.8749523809528
154,2013-06-04,12.5,532.1879523809528
155,2013-06-05,12.5,525.6906666666669
156,2013-06-06,12.5,447.2841904761904
157,2013-06-07,12.5,499.9099523809523
158,2013-06-08,12.5,434.3878095238094
159,2013-06-09,12.5,379.03738095238106
160,2013-06-10,12.5,500.71771428571395
161,2013-06-11,12.5,502.7324761904764
162,2013-06-12,12.5,494.06142857142845
163,2013-06-13,12.5,502.4146190476189
164,2013-06-14,12.5,510.1191904761905
165,2013-06-15,12.5,426.40242857142886
166,2013-06-16,12.5,377.49461904761904
167,2013-06-17,12.5,487.9848571428569
168,2013-06-18,12.5,502.2299047619045
169,2013-06-19,12.5,504.93457142857153
170,2013-06-20,12.5,505.90776190476225
171,2013-06-21,12.5,507.29419047619064
172,2013-06-22,12.5,426.1939523809523
173,2013-06-23,12.5,368.6117619047619
174,2013-06-24,12.5,483.2414761904761
175,2013-06-25,12.5,498.98038095238087
176,2013-06-26,12.5,493.25790476190474
177,2013-06-27,12.5,498.6904761904759
178,2013-06-28,12.5,494.0773333333332
179,2013-06-29,12.5,421.43052380952383
180,2013-06-30,12.5,366.94047619047643
181,2013-07-01,12.5,477.1329999999998
182,2013-07-02,12.5,495.21928571428555
183,2013-07-03,12.5,487.3476666666669
184,2013-07-04,12.5,497.8691428571431
185,2013-07-05,12.5,486.7781428571429
186,2013-07-06,12.5,413.5281428571429
187,2013-07-07,12.5,369.6581428571429
188,2013-07-08,12.5,488.7002380952382
189,2013-07-09,12.5,497.5175714285716
190,2013-07-10,12.5,497.13271428571466
191,2013-07-11,12.5,505.3491904761901
192,2013-07-12,12.5,503.00409523809554
193,2013-07-13,12.5,449.72309523809537
194,2013-07-14,12.5,391.16328571428556
195,2013-07-15,12.5,510.53728571428593
196,2013-07-16,12.5,504.9264761904763
197,2013-07-17,12.5,504.12719047619015
198,2013-07-18,12.5,529.4887619047622
199,2013-07-19,12.5,507.6504761904763
200,2013-07-20,12.5,430.25147619047624
201,2013-07-21,12.5,378.27566666666655
202,2013-07-22,12.5,489.1863809523807
203,2013-07-23,12.5,518.9910952380951
204,2013-07-24,12.5,482.18895238095257
205,2013-07-25,12.5,496.01585714285716
206,2013-07-26,12.5,505.72152380952383
207,2013-07-27,12.5,436.9421904761903
208,2013-07-28,12.5,386.53909523809523
209,2013-07-29,12.5,478.5251428571428
210,2013-07-30,12.5,475.47442857142875
211,2013-07-31,12.5,461.2249523809523
212,2013-08-01,12.5,453.91338095238126
213,2013-08-02,12.5,451.90909523809535
214,2013-08-03,12.5,387.9896190476191
215,2013-08-04,12.5,360.7200476190478
216,2013-08-05,12.5,464.4489523809521
217,2013-08-06,12.5,467.0783333333337
218,2013-08-07,12.5,478.7688571428574
219,2013-08-08,12.5,495.5138095238096
220,2013-08-09,12.5,493.99138095238135
221,2013-08-10,12.5,419.5770952380952
222,2013-08-11,12.5,361.4674761904761
223,2013-08-12,12.5,496.6263333333333
224,2013-08-13,12.5,487.73647619047637
225,2013-08-14,12.5,484.71047619047613
226,2013-08-15,12.5,395.2780952380953
227,2013-08-16,12.5,476.9771904761907
228,2013-08-17,12.5,395.9838571428574
229,2013-08-18,12.5,344.4472857142858
230,2013-08-19,12.5,479.7539047619046
231,2013-08-20,12.5,492.8557619047618
232,2013-08-21,12.5,492.8167142857146
233,2013-08-22,12.5,509.67247619047606
234,2013-08-23,12.5,483.09961904761934
235,2013-08-24,12.5,399.4226666666668
236,2013-08-25,12.5,342.1791428571429
237,2013-08-26,12.5,467.0639523809525
238,2013-08-27,12.5,476.59304761904787
239,2013-08-28,12.5,477.45080952381
240,2013-08-29,12.5,477.34990476190467
241,2013-08-30,12.5,471.6204285714289
242,2013-08-31,12.5,391.9418571428573
243,2013-09-01,12.5,333.3786190476191
244,2013-09-02,12.5,463.9800476190477
245,2013-09-03,12.5,494.7028571428569
246,2013-09-04,12.5,498.06138095238083
247,2013-09-05,12.5,502.05038095238126
248,2013-09-06,12.5,494.3495714285712
249,2013-09-07,12.5,437.740476190476
250,2013-09-08,12.5,384.4769047619048
251,2013-09-09,12.5,487.8525238095238
252,2013-09-10,12.5,517.2192380952382
253,2013-09-11,12.5,518.8750952380952
254,2013-09-12,12.5,517.2216666666665
255,2013-09-13,12.5,521.8870476190476
256,2013-09-14,12.5,460.85790476190493
257,2013-09-15,12.5,408.25666666666706
258,2013-09-16,12.5,500.6055238095239
259,2013-09-17,12.5,483.90766666666656
260,2013-09-18,12.5,364.39366666666666
261,2013-09-19,12.5,289.97314285714293
262,2013-09-20,12.5,313.24228571428563
263,2013-09-21,12.5,351.1397619047619
264,2013-09-22,12.5,372.465142857143
265,2013-09-23,12.5,502.99252380952373
266,2013-09-24,12.5,520.5909523809523
267,2013-09-25,12.5,521.342
268,2013-09-26,12.5,544.6852857142851
269,2013-09-27,12.5,548.6661904761903
270,2013-09-28,12.5,524.5438095238095
271,2013-09-29,12.5,488.88452380952367
272,2013-09-30,12.5,536.1442857142853
273,2013-10-01,12.5,549.449
274,2013-10-02,12.5,554.7085714285715
275,2013-10-03,12.5,542.4659047619045
276,2013-10-04,12.5,571.7600952380955
277,2013-10-05,12.5,517.602142857143
278,2013-10-06,12.5,446.13042857142875
279,2013-10-07,12.5,523.5445714285715
280,2013-10-08,12.5,550.2977142857146
281,2013-10-09,12.5,506.7174285714285
282,2013-10-10,12.5,542.4291904761906
283,2013-10-11,12.5,554.1169523809522
284,2013-10-12,12.5,531.613095238095
285,2013-10-13,12.5,467.15495238095235
286,2013-10-14,12.5,566.5022380952379
287,2013-10-15,12.5,698.5700000000003
288,2013-10-16,12.5,748.0478095238099
289,2013-10-17,12.5,743.7395714285716
290,2013-10-18,12.5,731.514095238095
291,2013-10-19,12.5,687.696619047619
292,2013-10-20,12.5,590.9020476190477
293,2013-10-21,12.5,661.4656190476193
294,2013-10-22,12.5,686.5495238095235
295,2013-10-23,12.5,687.7120476190478
296,2013-10-24,12.5,734.8689523809526
297,2013-10-25,12.5,822.4404761904761
298,2013-10-26,12.5,787.3012380952377
299,2013-10-27,12.5,739.6506666666672
300,2013-10-28,12.5,822.2054761904762
301,2013-10-29,12.5,859.2305714285711
302,2013-10-30,12.5,877.7232380952377
303,2013-10-31,12.5,885.086238095238
304,2013-11-01,12.5,831.8201904761916
305,2013-11-02,12.5,816.257047619048
306,2013-11-03,12.5,769.4139999999999
307,2013-11-04,12.5,829.3336190476191
308,2013-11-05,12.5,865.3981428571433
309,2013-11-06,12.5,891.5182857142858
310,2013-11-07,12.5,888.9049523809526
311,2013-11-08,12.5,984.1968571428569
312,2013-11-09,12.5,922.5247619047617
313,2013-11-10,12.5,1007.1787619047615
314,2013-11-11,12.5,1257.5182857142859
315,2013-11-12,12.5,1325.203238095238
316,2013-11-13,12.5,1300.7117619047615
317,2013-11-14,12.5,1277.2963333333332
318,2013-11-15,12.5,1188.8337619047613
319,2013-11-16,12.5,1136.319523809524
320,2013-11-17,12.5,1162.2436666666658
321,2013-11-18,12.5,1473.0013809523819
322,2013-11-19,12.5,1577.8989047619052
